id,text,label
1,一段时间 感觉 还 不错,0
2,电视 好 家里 第二台 第一天 下单 第二天 本地 物流 人 说 车坏 催 客服 帮 催到 第三天 下午 点才 送过来 父母 年纪 大 买 大 电视 画面 清晰 耳朵 还好 使 享受 几年,0
3,电视 想象 中 大 好多 画面 很 清晰 系统 很 智能 更 多功能 还 摸索 中,0
4,不错,0
5,多天 感觉 还 不错 夏普 牌子 可靠 希望 耐用 考量 质量,0
6,物流 速度 很快 棒 看 电视 清晰 流畅 完美 购物 体验,0
7,好 客服 还 特意 打电话 做 回访,0
8,物流 小哥 不错 辛苦 东西 还 没用,0
9,送货 速度 快 质量 保障 活动 价格 挺 好 希望 久 不出,0
10,漂亮 清晰 反应速度 快,0
11,很 不错 家里 都 喜欢 买 三台,0
12,送货 快 质量 好 这次 购物 愉快,0
13,好 大都 不错 看 质量 咯,0
14,物流 很快 物有所值 值得 信赖 依旧会 关顾 谢谢 商家,0
15,价钱 超值 收到 货 马上 装上 看 很 清晰 式样 蛮 好 赞赞,0
16,感受 还 不错,0
17,速度 快 服务态度 很 好,0
18,挺 好 物流 快 两天,0
19,发货 速度 快,0
20,送货 很快 安装 服务 很 好,0
21,质量 很 好 物流 服务到位,0
22,看 这款 确实 屏好 很多 感觉 价格 双 搞 活动 给力 百视通 资源 腾讯 视频 差距 客户 装 一个,0
23,便宜 价格,0
24,妈 买 妈妈 很 开心 说 很 好 说 快递 小哥 态度 很 好 好评,0
25,性价比 极高 一款 电视机 值得 拥有,0
26,电视 不错 晒单 收起 向左转 向右转,0
27,还 不错 高端 大气 上档次 外观 喜欢,0
28,还 不错,0
29,这台 电视 远 家乡 父母 买 父母 年纪 大 简单 操作系统 适合 搞 活动 半夜 下 单子 第二天 送到 安装简单 系统 运行 速度 很快 类别 节目 都 很 齐全 清晰度 很 好 父母 很 满意,0
30,蛮 好 物美价廉 同事 看 买 买 两台 还 包 上门 安装,0
31,挺 好 感觉 买 小 买寸,0
32,不错 很 好,0
33,日本 品牌 品质 放心,0
34,好 不错 选择 好,0
35,奶奶 买 奶奶 很 喜欢 送货 服务 不错,0
36,挺不错 画面 清晰 外观 好看 时尚,0
37,老爸 卧室 买 质量 很 不错 第一次 买夏普 网络 连接 送 一年 爱奇艺 不错,0
38,姑姑 买 卧室 电视 不错 上门 安装 加 挂架 多付 姑姑 很 满意,0
39,服务 很 好,0
40,价格便宜 性价比 挺 好 刚刚开始,0
41,电视 收到 很 好 质量 好 色彩 安装 师傅 耐心 棒棒,0
42,电视 不错 屏幕 够 大,0
43,电视 到货 很久 才 安装 好 很 激动 效果 很 好 京东 物流 很 力 五分,0
44,还 不错,0
45,宝贝 收到 发货 速度 很快 价格 实惠 包装 完整 满意,0
46,京东 家电 正品 低价 服务 到家,0
47,京东 值得 信赖,0
48,寸 想象 不 视觉 体验 操作界面 简单 遥控 语音 识别 很 不错 影片 库 很 全 最新 最 热 从此 爱上 看电视,0
49,电视 半天 从换 三星 最终 选择 索尼 电视 难以 支持 帧 视频 价位 选 索尼 没 毛病,0
50,团购 平时 便宜 元 抵,0
51,快递 物流 好 自行 安装 底座 很 高清 机顶盒 缘故 接 有线电视 图像 图像 好 投屏 功能 很 好 操作界面 整洁 新 电视屏幕 保护膜 撕掉 画面 鲜艳 连接 后 测试 很 满意 愉快 网购 体验 晒单 收起 向左转 向右转,0
52,电视 不错 月 号 下 单号 下午 收到 足以 证明 火爆 程度 以下几点 全金属 机身 塑料 视觉 无 边框 喜欢 无 边界 方显 大视野 核 处理器 配置 好 电视 才能 运行 快 内存 很大 剩余 内存 不到 够用 二 电视 外表 整体 做工 还 行 拥有 技术 广色域 技术 色彩 好 拥有 技术 广色域 技术 画质 清晰 音质 还好 杜比 解码 解码 立体 环绕 音效 搭载 酷开 系统 三 对比 很多 电视 屏幕 资源 拿的出手 防抖 绝口不提 反而 创维 价位 加上 良心 选 创维 四 电视 月份 刚 上市 电视 多大 都 网上 查看 电视 去年 新出 好坏 不 懂 看 很多 查看 五 供应商 客服 很 满意 纠结 好 几天 都 问到 供应商 客服 每次 都 耐心 回答 体验 很 好 售后 很 力 安装 给力 当天 下午 到货 晚上 装上 还免 安装费,0
53,用户 未 评价 系统 默认 好评 追加 很 清晰 音质 很 好,0
54,外观 很漂亮 画质 声音 都 不错,0
55,安装 感觉 还 不错,0
56,电视 很 完美 看起来 很漂亮 边框 窄 整体 观看 效果 电视 好 很多 安装 师傅 很 力 送货 师傅 很 力 五星 好评,0
57,不错 电视机 价格 便宜 飞利浦 大 品牌,0
58,很 好 送货 很快 满意,0
59,一如既往 好评 拍来 送 人 朋友 很 满意,0
60,还 不错 送货 很快 提前 送来,0
61,不得不 佩服 京东 配送 速度 太快 都 京东 买 便宜 好,0
62,物美价廉,0
63,超 高性价比 性价比 简直 无敌 造工 比不上 大 品牌 价格低 找 不到 便宜 想 看 都 会员 晒 单送 年 会员 试试看 好,0
64,双十 买 台 邻居 后 很 喜欢 双 十二 帮 买 台 还 不错 支持 暴风,0
65,值得 购买,0
66,性价比 很 高,0
67,不错,0
68,好 好评,0
69,宝贝 很 好哟 买 担心 电视 质量 一段时间 后 才 明白 多余 担心 质量 杠杠 值得 信赖,0
70,老 品牌 信任 看着 不错,0
71,很 轻 感觉 挺 单薄 价格 便宜 对得起 价格,0
72,送货 快 服务 态度 很 好 满意,0
73,月 日 零点 抢 月 日 中午 前 送到 刚买 完 第二天 早上 点半 客服 打电话 确认 订单 情况 物流 时间 选择 发送 时间 太早 感觉 很 贴心 第二 收到 货后 马上 创维 客服热线 下午 点 不到 就家来 安装 完毕 购物 体验 棒 安装 师付 说 电视 不错 加 一条 创维 原厂 线元 高清 线 机顶盒 高清 线 分,0
74,飞利浦 电器 不用说 质量 杠杠,0
75,东西 不错 值得 拥有,0
76,送给 姐姐 乔迁 新居 礼物 到货 安装 好 京东 服务 细心 电视 完好 姐姐 很 满意,0
77,画面 质量保证,0
78,画面 清晰 师傅 安装 很 好 很快 满意,0
79,双元 买 价格 实惠 能用 行,0
80,显示 效果 很棒 音质 一般般 放在 店里 屏幕 大 性价比 还 品牌 贵 一点 资源 整体 做工 塑料 感挺强 家里 不 建议 款 接口 整体 中规中矩 晒图 视频 超清 画质 开启 杜比 音效 效果 供 参考 晒单 收起 向左转 向右转,0
81,挺 好,0
82,东西 不错 货运 特别 慢 打电话 才 送到,0
83,挺 好,0
84,老家 乡里 电视 小 娃娃 弄坏了 都 想 换 一个 新 电视 京东 上 看了又看 等到 双十 没 下手 还 后悔 前 几天 风行 电视 搞 活动 果断 下单 昨晚 师傅 送货到 家 安装 好 电视 效果 不错 清晰 声音洪亮 物美价廉 希望 风行 越做越 好 越做越 大,0
85,刚 开箱 试机 屏幕 质地 很 好 画面 清淅度 高 功能 很全 价格 很值,0
86,便宜 实惠 色彩 鲜艳 度差 点 不高 接受,0
87,不错 快 晒 单 收起 向左转 向右转 追加 电视 外观 挺不错 玫瑰 金 边框 彰显 美感 电视 遥控 操作 很 遥控器 不错 灵敏 还会 购买 收起 向左转 向右转,0
88,正品 很 好 买,0
89,不错,0
90,还 不错 性价比 挺 高,0
91,超薄 太 发热 双 十二 下单 送货 时间 久点 都 不错,0
92,不错,0
93,电视 不错 大 品牌 没 清晰,0
94,两周 效果 不错,0
95,物流 赞 服务态度 好 开箱 检查 确保 没 已上 电 测试 没 清晰度 好,0
96,电视 还 没 安装 等待 安装 看着 挺 好,0
97,确实 辜负 期望值 购买 信赖 大,0
98,父母 买 还 不错 不亏 小米,0
99,物流 装机 快捷 不错,0
100,快递 送货 快 售后服务 态度 很 好 安装 师傅 上门 安装 耐心 细致 讲解 疑问 电视 清晰度 高音质 不错 暂时 发现,0
101,创维 品质 购买 收到 货 比较满意 边缘 一点 全屏 不 影响 视觉 取出 电视 后会 指纹 留在 电视屏幕 布 擦 处 电脑屏幕 擦拭 打包 出售 贴膜 小孩子 好奇 留 指纹 屏幕 上 擦拭 更 遥控 好用 不 看 说明书 都 会 一点 出比 想象 好 视觉 满意 在意 听觉 效果 加上 音响 本来 担心 电视 会碎 屏收 快递 现场 验货 满意 购物,0
102,电视机 不错 买 小 夏普是 退换 这一说 大 师傅 开 签定 单 原因 莫得 法子 服务 性能 肯定 都 好评 京东 大件 都 京东 自营 东 加油 懒得 拍照片 只 拍 空调 嘿嘿,0
103,值得 购买 功能强大 效果 不错,0
104,宝贝 收到 包装 很 完整 价格 实惠 满意 购物 经历,0
105,宝贝 一级 棒 师傅 太 负责 好评,0
106,电视 质量 不错 色彩鲜艳 放 客厅 刚刚 好 客服 态度 不错,0
107,挺 好 性价比 高,0
108,电视机 很 好 价格便宜 服务 好 电视 显示 效果 还,0
109,电视 不错 送货上门 暂时 还 安装,0
110,本人 双买 电视 外观 好看 档次 高 型号 创维 寸 超薄 昨天 刚 开机 电视 感觉 小 一点 本来 打算 放 客厅 放 卧室 房间 买 创维 寸 蓝牙 遥控器 随意 切换 一点 都 不卡点 都 秒 好看 大气 还要 再 买 一台 寸 真的 好 喜欢 架子 好看 不卡 大气 买 放心 买 安心 买 不 后悔 走过 路过 千万 别错过 支持 买买 买 差不多 去 忙 好,0
111,电视 收到 显示屏 清晰 价钱 实惠 满意,0
112,物流 客服 都 很 力 想象 还 大 画面 清晰,0
113,曲屏 屏 清晰 价格 还 不贵,0
114,年会 奖品 屏幕 色彩 不错,0
115,终于 等到 到来 还 没 看 小米 电视 感觉 不错,0
116,物流 快 东西 正品,0
117,电视 想象 差不多 海尔 大 品牌 值得 信赖 客服 态度 好 啥事 立马 解决 喜欢 值得 购买 几天 追评,0
118,物有所值 送货 速度 送货 态度 都 满意 打开 电视 确实 做工 精细 画面 流畅 清晰 操作 很 人性化 比较满意,0
119,性价比 超高 划算 机器 不错 满意,0
120,物超所值,0
121,开箱 通电 后 没 送货 师傅 很 负责 曲面 屏 的确 上档次 上 几颗 螺丝 安装 希望 出,0
122,下单 中午 速度 快 下午 马上 安装 晚上 看 神速,0
123,感觉 不错 装 美的 很 只想 看电视 都 不想 干,0
124,还 很 便宜 值得 价格 很 好,0
125,产品 很 好 很 满意 支付 年 售后服务 凭证 不知 请 告知,0
126,挺不错 价钱 实惠,0
127,漂亮 大气 物超所值,0
128,东西 不错 很 薄 很 轻,0
